ax,ay,az,temp,gx,gy,gz
0.0183,0.0779,1.021,33.14,-2.069,-0.351,0.618
0.0186,0.0762,1.0193,33.14,-2.313,-0.405,0.71
0.019,0.0789,1.0222,33.14,-2.168,-0.611,0.695
0.0181,0.0781,1.0308,33.14,-2.115,-0.534,0.542
0.0183,0.0796,1.0273,33.24,-2.229,-0.305,0.779
0.0178,0.0793,1.0178,33.14,-2.176,-0.511,0.634
0.0159,0.0754,1.0193,33.24,-2.122,-0.496,0.611
0.0132,0.0774,1.0239,33.14,-2.046,-0.397,0.595
0.0149,0.0767,1.0161,33.14,-2.206,-0.458,0.55
0.0164,0.0747,1.02,33.14,-2.229,-0.443,0.557
0.0198,0.0793,1.0203,33.14,-2.145,-0.389,0.664
0.0203,0.0757,1.0225,33.14,-2.397,-0.458,0.603
0.0205,0.0781,1.0217,33.14,-2.252,-0.366,0.634
0.0166,0.0781,1.0195,33.14,-2.16,-0.42,0.74
0.0225,0.0833,1.0229,33.14,-2.229,-0.542,0.733
0.0159,0.0789,1.0105,33.05,-2.198,-0.382,0.634
0.021,0.0798,1.033,33.14,-2.115,-0.565,0.748
0.0142,0.075,1.019,33.14,-2.145,-0.542,0.611
0.0144,0.0769,1.033,33.14,-2.13,-0.481,0.779
0.02,0.0735,1.0266,33.14,-2.183,-0.42,0.71
0.0203,0.0781,1.0178,33.24,-2.244,-0.397,0.664
0.0168,0.0833,1.0183,33.24,-2.237,-0.634,0.504
0.0159,0.0798,1.0203,33.14,-2.252,-0.344,0.534
0.0159,0.074,1.0215,33.14,-2.229,-0.351,0.496
0.0156,0.0796,1.0105,33.14,-2.13,-0.405,0.718
0.0186,0.0769,1.0269,33.14,-2.153,-0.412,0.595
0.0212,0.0835,1.0225,33.14,-2.336,-0.557,0.565
0.0181,0.0764,1.0217,33.14,-2.122,-0.489,0.611
0.0183,0.0762,1.02,33.05,-2.008,-0.504,0.756
0.0222,0.0791,1.011,33.24,-2.168,-0.122,0.626
0.0176,0.0757,1.021,33.14,-2.214,-0.336,0.634
0.0149,0.0771,1.0171,33.14,-2.13,-0.397,0.573
0.0203,0.0752,1.0322,33.14,-2.13,-0.466,0.511
0.0146,0.0798,1.0144,33.14,-2.221,-0.466,0.779
0.0164,0.0793,1.0105,33.14,-2.107,-0.55,0.443
0.0142,0.0798,1.0305,33.24,-2.374,-0.26,0.695
0.0195,0.0745,1.0142,33.05,-2.252,-0.527,0.634
0.0129,0.0818,1.0178,33.09,-2.267,-0.58,0.626
0.0139,0.0806,1.0259,33.19,-2.351,-0.351,0.595
0.0178,0.0835,1.031,33.19,-2.191,-0.527,0.672
0.0176,0.0762,1.0281,33.19,-2.183,-0.534,0.641
0.0229,0.0791,1.0208,33.09,-2.015,-0.611,0.679
0.0208,0.0825,1.0227,33.19,-1.847,-0.397,0.718
0.0254,0.0762,1.0271,33.19,-2.061,-0.405,0.588
0.0217,0.0732,1.02,33.14,-2.198,-0.443,0.763
0.0171,0.0732,1.0181,33.14,-2.076,-0.374,0.611
0.0173,0.073,1.0217,33.09,-2.344,-0.534,0.641
0.0229,0.0796,1.0229,33.09,-2.282,-0.328,0.756
0.0168,0.0808,1.0232,33.09,-2.221,-0.595,0.588
0.0154,0.0776,1.0225,33.19,-2.031,-0.328,0.588
0.0127,0.0769,1.019,33.05,-2.084,-0.45,0.611
0.0217,0.0737,1.0229,33.24,-2.198,-0.42,0.58
0.019,0.0781,1.0264,33.14,-2.099,-0.611,0.55
0.0217,0.0786,1.0244,33.14,-2.359,-0.221,0.557
0.0173,0.0762,1.0244,33.24,-2.153,-0.443,0.641
0.0166,0.0747,1.0254,33.28,-2.115,-0.374,0.87
0.0151,0.0791,1.0232,33.28,-2.176,-0.458,0.58
0.0195,0.0811,1.0139,33.19,-2.412,-0.321,0.695
0.0193,0.0845,1.0205,33.09,-2.336,-0.557,0.641
0.0217,0.0784,1.0195,33.19,-2.351,-0.603,0.725
0.0229,0.0786,1.0288,33.19,-2.168,-0.351,0.725
0.0178,0.0808,1.0244,33.14,-2.275,-0.435,0.656
0.0181,0.0811,1.0171,33.24,-2.198,-0.565,0.626
0.0142,0.0789,1.0212,33.14,-2.099,-0.45,0.725
0.0183,0.0798,1.0203,33.14,-2.298,-0.435,0.573
0.0176,0.0752,1.0203,33.09,-2.168,-0.389,0.656
0.0203,0.0806,1.0244,33.19,-2.214,-0.588,0.748
